doc_name,section_no,page_no,error_code,content_type,severity,is_safety,ref_section,content
R30iA_Maintenance,3.5,53,SRVO-002,TROUBLESHOOTING,MEDIUM,false,,2 SRVO-002 Teach pendant E-stop 3 R E S E T
R30iA_Maintenance,3.5,53,SRVO-027,TROUBLESHOOTING,MEDIUM,false,,"4 SRVO-027 Robot not mastered(Group:1) 5 SYST-026 System normal power up [ TYPE ] ACTIVE! CLEAR HELP NOTE The latest alarm is assigned number 1. To view messages that are currently not on the screen, press the F5, HELP, and then press the right arrow key. (4) To display the alarm detail screen, press F5, [HELP]. CLEAR HELP INTP-224 (SAMPLE1, 7) Jump label is fail INTP-224 (SAMPLE1, 7) Jump label is fail F5 MEMO-027 Specified line does not exist 30-MAY-44 07:15 STOP.L 00000110 Alarm 1/25 1 INTP-224 (SAMPLE1, 7) Jump label is"
R30iA_Maintenance,3.5,53,SRVO-002,TROUBLESHOOTING,MEDIUM,false,,"2 SRVO-002 Teach pendant E-stop [ TYPE ] CLEAR HELP (5) To return to the alarm history screen, press the PREV key. PREV (6) To delete all the alarm histories, press and hold down the SHIFT key, then press F4, [CLEAR]. CLEAR HELP F4 SHIFT NOTE When system variable $ER_NOHIS = 1, NONE alarms or WARN alarms are not recorded. When $ER_NOHIS=2, resets are not recorded in the alarm history. When $ER_NOHIS=3, resets, WARN alarms, and NONE alarms are not recorded. - 16 -"
R30iA_Maintenance,3.5,56,SRVO-062,TROUBLESHOOTING,MEDIUM,false,,"(1) The SRVO-062 BZAL or SRVO-038 pulse mismatch alarm occurs, or (2) The Pulsecoder is replaced. Item (1) requires quick mastering, while item (2) requires zero-degree or fixture position mastering. (Zero-degree position mastering is just for quick-fix purposes. After zero-degree position mastering is used, fixture position mastering should be performed later.) The mastering procedure is described below. For the procedure of mastering other than fixture position mastering, refer to the operator's manual of the mechanical unit. For the procedure of fixture mastering, contact FANUC. Condition System variable $MASTER_ENB must be set to 1 or 2. SYSTEM Variables JOINT 10% 57/136 57 $MASTER_ENB 1 Step (1) Press <MENUS>. (2) Select SYSTEM. (3) Press F1, TYPE. (4) Select Master/Cal you will see a screen similar to the following. 9 0 -- NEXT -- SYSTEM Master/Cal JOINT 30% 1 FIXTURE POSITION MASTER 2 ZERO POSITION MASTER MENUS 3 QUICK MASTER 4 SINGLE AXIS MASTER 5 SET QUICK MASTER REF 5 POSITION 6 CALIBRATE 6 SYSTEM 7 Press 'ENTER' or number key to select. Master / TYPE [TYPE] LOAD RES_PCA DONE F1 (5) Move the robot by jog feed to the mastering position. Release the brake on the manual brake control screen if necessary. NOTE Mastering cannot be performed until axis is rotated enough to establish a pulse. - 19 -"
R30iA_Maintenance,3.5,58,SRVO-001,TROUBLESHOOTING,MEDIUM,false,,"(1) SRVO-001 Operator panel E-stop (Explanation) The emergency stop button on the operator's panel is pressed. (Action 1) Release the emergency stop button pressed on the operator's panel. (Action 2) Check the wires connecting between the emergency stop button and the E-stop board (CRT23) for continuity. If an open wire is found, replace the entire harness. (Action 3) With the E-stop in the released position, check for continuity across the terminals of the switch. If continuity is not found, the emergency stop button is broken. Replace the switch unit or the operator's panel. (Action 4) Replace the E-stop board. Before executing the (Action 5), perform a complete controller back-up to save all your programs and settings. (Action 5) Replace the main board. NOTE If the LED (red) on the E-stop unit is lit, a fuse may have blown. Take the same actions described in (3) in Section 3.6. Emergency stop button CRT23 CRS32 (E-stop board) (Main board)"
R30iA_Maintenance,3.5,58,SRVO-001,TROUBLESHOOTING,MEDIUM,false,,Fig.3.5 (a) SRVO-001 Operator panel E-stop - 21 -
R30iA_Maintenance,3.5,59,SRVO-002,TROUBLESHOOTING,MEDIUM,false,,(2) SRVO-002 Teach pendant E-stop (Explanation) The emergency stop button on the teach pendant was pressed. (Action 1) Release the emergency stop button on the teach pendant. (Action 2) Replace the teach pendant. Emergency stop button
R30iA_Maintenance,3.5,59,SRVO-002,TROUBLESHOOTING,MEDIUM,false,,Fig.3.5 (b) SRVO-002 Teach pendant E-stop
R30iA_Maintenance,3.5,59,SRVO-003,TROUBLESHOOTING,MEDIUM,false,,"(3) SRVO-003 DEADMAN switch released (Explanation) The teach pendant is enabled, but the DEADMAN switch is not pressed. Alternatively, the DEADMAN switch is pressed strongly. (Action 1) Check the intermediate position of the DEADMAN switch on the teach pendant. (Action 2) Check that the mode switch on the operator's panel and the enable switch on the teach pendant are at the correct positions. (Action 3) Replace the teach pendant. (Action 4) Check the mode switch connection and operation. If trouble is found, replace the mode switch. (Action 5) Replace the E-stop board. Before executing the (Action 6), perform a complete controller back-up to save all your programs and settings. (Action 6) Replace the main board. Enable/disable switch Deadman switch"
R30iA_Maintenance,3.5,59,SRVO-003,TROUBLESHOOTING,MEDIUM,false,,Fig.3.5 (c) SRVO-003 DEADMAN switch released - 22 -
